ASSETID,LOCATION,LEGACYID,STYPE,CONTROLTYPE,WARRANTYDATE,MAINTENANCESECTION,LIFECYCLESTATUS,INSTALLDATE,CONDITION,CONDITIONDATE,OWNEDBY,MAINTAINEDBY,PRIMARYIMAGE,RECORDEDLENGTH,ROTATION,COLLECTIONMETHOD,SOURCENOTES,SIGNAL,SIGN,GATE,WORKAREA,COMMUNITY,FULLSTREETNAME1,FULLSTREETNAME2,FULLSTREETNAME3,FULLSTREETNAME4,DIRECTION1,DIRECTION2,STREETNAMEID1,STREETNAMEID2,STREETNAMEID3,STREETNAMEID4,SEGCOUNT,EDITORCOMMENT,LASTUPDATE,LASTEDITOR,CREATEDATE,CREATEEDITOR,GLOBALID,geometry,longitude,latitude
146949,BELMONT CRT and PINE ST,6257,Continuous,,,NE,REM,,BELMONT CRT,,1.0,1.0,PINE ST,,56.3919,0.0,BELMONT CRT|PINE ST,,,,642,,Pine Street,Pine Street,,,,,1587.0,1587.0,,,1.0,No longer required as per Rules Feb 26 2020,2020-05-04 14:57:57+00:00,TEK05PLA,,,{01641796-38B7-46FC-8EE4-CDB1459A5532},POINT (506413.61099999957 5173043.2623),-80.91609027795012,46.710913977097476
146451,JAMES ST and STULL ST,5661,Continuous,Stop sign,,NE,ACT,,STULL ST,,1.0,1.0,JAMES ST,,359.7523,0.0,STULL ST|JAMES ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:10:13+00:00,TEK05PLA,,,{55743666-4967-4307-A09F-5962EDB56F21},POINT (504991.38100000005 5173495.3836),-80.93469249071094,46.71499484338802
146400,RANDOLPH ST and FOCH ST,5604,Continuous,,,NE,REM,,RANDOLPH ST,,1.0,1.0,FOCH ST,,44.711800000000004,0.0,RANDOLPH ST|FOCH ST,,,,637,Capreol,Foch Street,Randolph Street,,,,,705.0,1644.0,,,2.0,Lifecycle status changed due to New rules (Feb 26 2020),2020-05-04 11:47:39+00:00,TEK05PLA,,,{68E03DF0-982E-45E8-83C7-F27BBF29F5B5},POINT (504891.79289999977 5173682.014699999),-80.93599352036054,46.7166751115255
146219,,,Continuous,,,SE,REM,,,,,,,,,,,,,,,,Barry Downe Road,Lasalle Boulevard,,,,,128.0,1127.0,,,2.0,,2020-09-01 14:02:28+00:00,GREATERSUDBURY1\tek0,,,{2EDB0B09-4215-45DB-93F0-AECE02C707A9},POINT (504282.7176000001 5152021.706800001),-80.94416367825757,46.521750358102004
143888,,,Continuous,,,SS,REM,,,,,,,,333.457,,,,,,1247,,Bouchard Street,Regent Street,,,,,212.0,1659.0,,,2.0,,2020-09-01 11:53:25+00:00,TEK05PLA,,,{D9CC07CB-AA96-4231-A8E8-06532E5E3BCE},POINT (499199.34810000006 5145219.3146),-81.01042686921294,46.460544920422585
143048,ROSEBUD CRT and DOW DR,2057,Continuous,,,SS,REM,,ROSEBUD CRT,,1.0,1.0,DOW DR,,,0.0,ROSEBUD CRT|DOW DR,,,,,,Dow Drive,Rosebud Court,,,,,527.0,1720.0,,,2.0,,2020-09-01 10:53:04+00:00,TEK05PLA,,,{12080436-1054-447E-99FF-D8622E9C2006},POINT (494518.0784999998 5145934.5397),-81.07139931030116,46.46695985798304
146599,,,Continuous,,,NE,REM,,,,1.0,1.0,,,0.0,0.0,,,,,637,Capreol,Unnamed Private Road 155,Unnamed Private Road 153,,,,,2254.0,2253.0,,,2.0,Lifecycle status change due to new Rules (Feb 26 2020),2020-05-04 12:48:22+00:00,TEK05PLA,,,{F873592A-D8B5-42FB-B639-29CD70BADC11},POINT (505390.96279999986 5173228.7848000005),-80.92946746969929,46.7125925619055
146496,FRANK ST and FOCH ST,5701,Continuous,Stop sign,,NE,ACT,,FOCH ST,,1.0,1.0,FRANK ST,,179.60850000000002,0.0,FOCH ST|FRANK ST,,,,637,Capreol,Foch Street,Frank Street,,,,,705.0,721.0,,,2.0,,2020-05-04 15:18:09+00:00,TEK05PLA,,,{69A52ED1-C0B9-4966-BF93-961D9F7FCB13},POINT (505089.16110000014 5173689.482100001),-80.93341098267541,46.71674083861804
146356,LLOYD ST and STULL ST,5553,Continuous,Stop sign,,NE,ACT,,LLOYD ST,,1.0,1.0,STULL ST,,0.4373,0.0,LLOYD ST|STULL ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:07:54+00:00,TEK05PLA,,,{24A78579-59B4-47AC-B15B-34F70E367F98},POINT (504793.3071999997 5173494.5582),-80.93728410642021,46.7149888651179
146597,FOCH ST and HAIG ST,5814,Continuous,Yield sign,,NE,ACT,,FOCH ST,,1.0,1.0,HAIG ST,,179.7221,0.0,FOCH ST|HAIG ST,,,,637,Capreol,Foch Street,Haig Street,,,,,705.0,845.0,,,2.0,,2020-05-04 15:15:14+00:00,TEK05PLA,,,{0954504A-BA42-4639-9F84-A7D491815ACE},POINT (505389.8521999996 5173691.7981),-80.92947657234582,46.716759323749436
